pregunta;respuesta
Lo hare cuando pueda;I'll do it when I can
Le vere en cuanto pueda;I'll see him as soon as I can
¿Cuando estarán aquí?;When will they be here?
No tengo ni idea;I have no idea
¿No sabes cuando vienen?;Don't you know when they are coming?
Vendran cuando yo les llame;They'll come when I call them
¿Cuando vas a llamarles?;When are you going to call them?
Les llamare cuando tenga tiempo;I'll call them when I have time
¿No tienes tiempo ahora?;Don't you have time now?
Por supuesto que si;Of course I do
Entonces ¿por que no lo haces?;Then why don't you do it?
Vale, lo hare;All right, I'll do it
Les visitaremos mañana por la mañana;We'll visit them tomorrow morning
El estará aquí un poco mas tarde;He'll be here a little later
¿Por que no vuelves a llamar?;Why don't you call back?
¿Me harán muchas preguntas?;Will they ask me a lot of questions?
Ella vendra cuando quiera;She'll come when she wants to
¿Cuando lo recibirán?;When will they receive / get it?
Probablemente tendra lugar aqui;It'll probably take place here
Las cosas cambiaran algun dia;Things will change someday
Las cosas tienen que cambiar;Things have to change
¿Cuando tendrá lugar?;When will it take place?
¿Cuando empezara la reunión?;When will the meeting begin?
¿Cuando terminara?;When will it end / be over?
¿Cuando terminaras?;When will you finish / be through?
No pasara nada;Nothing will happen
¿Cuanto tiempo estarán aquí?;How long will they be here?
¿Donde se alojaran?;Where will they stay?
¿Quien les recogerá en el aeropuerto?;Who will pick them up at the airport?
¿Quien les traerá aquí cada día?;Who'll bring them here every day?
¿A donde les llevaremos el domingo?;Where'll we take them on Sunday?
¿Que haremos si no les gusta la comida?;What'll we do if they don't like the food?
¿Cuanto dinero necesitaran?;How much money will they need?
No te preocupes, yo lo hare.;Don't worry, I'll do it
¿Por que lo quieres hacer tu?;Why do you want to do it?
Por que soy el único que sabe hacerlo.;Because I'm the only one who knows how to do it
¿Sabes hacerlo de verdad?;Do you really know how to do it?
Nadie sabe mas que yo.;Nobody knows more than me /I do
¿Cuando vas a hacerlo?;Whe are you going to do it?
Lo hare cuando me dejen.;I'll do it when they let me
¿Cuando crees que te dejaran?;When do you think they'll let you?
Me dejaran hacerlo esta noche.;They'll let me do it tonight
¿Puedes decirme lo que vas a hacer?;Can you tell me what you're going to do?
